gender,birth_year,c_educ,c_income,c_health,c_hukou,c_sc,p_sc,f_educ
1,1966,4,30000,5,1,5,5,3
1,1962,6,0,3,1,5,5,4
1,1963,6,57000,3,1,1,1,2
1,1964,4,25000,2,1,3,1,1
1,1979,4,15000,3,1,1,1,3
1,1963,4,55000,5,1,5,5,1
1,1972,4,100000,4,1,6,6,1
1,1969,3,27000,4,1,1,2,1
2,1976,3,26400,3,1,1,1,1
2,1972,1,20000,2,1,6,5,12
2,1966,4,0,4,1,8,7,3
2,1975,6,40000,4,1,7,5,3
2,1967,1,11000,3,1,5,3,3
1,1974,4,100000,4,1,5,3,4
1,1961,4,10800,4,1,7,7,2
2,1977,3,15000,3,1,5,5,3
2,1970,6,30000,4,1,5,5,3
2,1970,5,180000,5,2,5,3,3
2,1972,4,30000,4,1,10,10,4
2,1973,4,40000,4,1,3,1,3
2,1962,7,40000,4,4,3,3,4
1,1970,10,40000,4,4,8,6,3
1,1961,6,30000,3,4,1,5,14
2,1974,4,26000,3,1,5,4,3
2,1968,9,40000,4,1,1,1,4
1,1979,4,0,3,4,3,5,4
1,1962,4,24000,3,4,5,5,8
2,1963,7,42000,5,2,3,1,3
2,1963,9,52800,4,2,4,3,3
1,1968,4,26000,4,4,2,1,4
1,1969,4,25000,4,1,2,1,3
2,1963,6,35000,3,4,6,8,4
1,1970,6,10000,4,1,5,3,1
1,1962,4,36000,2,4,3,3,8
2,1961,6,120000,5,4,6,6,2
1,1979,7,50000,4,4,6,6,3
1,1972,4,20000,5,1,1,1,3
1,1973,4,9999999,5,1,3,2,1
1,1962,4,30000,3,2,6,2,98
2,1977,11,100000,4,1,2,2,4
2,1979,11,100000,4,1,5,3,7
1,1977,6,90000,4,1,4,3,3
2,1976,9,40000,4,1,8,5,6
2,1963,7,24000,4,1,6,6,98
2,1979,8,9999998,3,1,4,4,3
2,1966,4,20000,3,1,5,3,4
1,1962,3,27000,4,1,1,1,1
1,1977,6,72000,4,1,3,7,3
2,1975,4,20000,5,2,5,2,4
1,1977,3,10000,3,1,1,1,1
2,1978,12,50000,5,1,5,2,4
1,1971,9,100000,3,5,5,5,7
2,1968,5,50000,3,5,5,6,4
1,1969,11,60000,4,1,2,1,4
2,1960,6,35000,4,5,5,5,4
2,1973,6,0,1,5,4,5,7
2,1962,6,20000,4,5,2,9,7
2,1968,6,20000,3,1,5,2,3
2,1968,6,48000,5,1,9,7,6
2,1972,12,200000,4,1,6,6,3
1,1978,11,150000,4,5,7,8,7
2,1976,9,40000,5,1,5,2,1
1,1964,6,0,3,3,5,6,12
2,1968,4,100000,5,1,5,4,3
1,1979,10,150000,4,1,4,3,3
2,1973,12,28000,5,5,1,1,4
2,1978,10,200000,5,1,5,3,6
1,1967,6,80000,3,5,3,3,2
1,1974,11,120000,3,1,6,4,3
1,1971,9,200000,5,3,5,6,6
1,1965,6,60000,5,1,2,2,1
2,1963,4,20000,5,1,3,4,1
1,1976,4,50000,4,1,4,3,7
2,1978,6,20000,3,2,3,5,3
2,1975,5,24000,3,3,5,5,8
2,1971,1,30000,4,1,5,2,1
2,1964,6,0,3,1,1,4,3
2,1969,6,40000,4,1,1,3,3
1,1974,4,200000,4,1,5,2,1
2,1979,6,200000,4,5,2,7,6
1,1964,4,20000,4,1,3,2,6
1,1972,4,7000,5,1,4,3,1
1,1966,4,36000,4,1,5,2,1
2,1968,3,14000,3,1,2,1,1
2,1960,4,30000,4,2,5,4,2
2,1979,12,72000,3,1,3,1,3
1,1962,6,50000,3,1,4,2,3
2,1961,9,33000,3,5,4,5,1
2,1964,4,9600,4,1,1,6,98
1,1978,8,65000,5,2,1,1,4
2,1969,4,0,3,3,4,5,4
1,1967,6,20000,2,5,5,5,4
2,1971,10,50000,3,1,6,8,4
2,1971,10,120000,4,1,3,1,98
2,1963,4,3000,3,5,1,4,3
2,1975,12,80000,4,1,5,2,3
1,1979,6,45000,4,1,4,2,3
1,1973,6,100000,5,1,5,4,3
2,1960,6,36000,4,1,1,2,3
2,1976,12,50000,5,1,6,3,4
1,1976,6,50000,4,1,6,5,4
2,1977,11,130000,5,1,5,2,4
1,1962,4,30000,3,1,5,3,1
2,1966,4,10000,2,1,1,1,2
1,1967,12,9999999,5,1,5,4,3
2,1975,11,50000,3,1,3,1,3
2,1976,12,60000,5,3,7,6,6
2,1963,6,0,3,1,4,3,3
1,1969,4,0,4,1,1,1,3
1,1976,3,60000,5,1,5,3,1
1,1966,6,30000,3,1,3,1,4
2,1969,4,40000,3,3,4,1,1
1,1979,4,10000,3,1,2,1,3
2,1962,4,0,4,1,5,3,1
2,1962,3,24000,3,1,6,2,1
2,1963,6,22800,3,1,3,2,3
2,1962,4,13000,3,1,5,5,1
2,1964,1,24000,2,1,2,2,1
1,1962,6,60000,4,1,3,2,3
2,1975,4,20000,5,1,2,2,1
2,1962,4,22800,3,1,1,1,1
2,1961,6,45600,3,1,3,2,1
1,1962,6,10000,4,1,5,1,1
2,1961,6,20000,3,1,1,1,3
2,1972,3,54000,5,1,5,3,3
2,1976,9,0,4,5,5,5,4
2,1977,12,50000,4,5,5,5,4
1,1968,6,50000,4,5,3,3,4
1,1964,9,0,5,5,1,9,3
1,1974,12,96000,5,3,5,3,12
1,1963,4,36000,4,5,1,1,2
2,1973,5,19200,2,5,1,1,14
1,1964,9,50000,4,5,5,7,6
1,1979,13,230000,4,5,5,4,12
2,1967,7,40000,4,5,4,5,10
2,1969,6,20000,4,5,4,2,12
1,1961,6,28800,3,5,7,4,3
1,1962,4,15000,2,5,2,2,2
2,1960,6,30000,3,5,6,2,1
1,1969,6,100000,4,1,4,2,1
1,1971,4,35000,2,5,2,2,6
2,1966,6,0,4,5,5,5,3
1,1963,4,25000,5,3,5,6,12
2,1969,6,15000,5,1,3,3,3
2,1963,5,0,4,1,5,98,98
2,1972,5,54000,3,5,5,4,6
2,1972,8,2500,4,5,1,6,6
2,1963,4,12600,3,1,4,3,1
1,1969,6,50000,3,5,4,2,4
1,1979,11,100000,4,5,5,2,4
1,1970,6,120000,4,5,3,2,3
1,1973,10,200000,5,1,6,2,3
2,1963,10,96000,3,5,7,7,4
2,1971,9,50000,3,5,6,6,3
2,1962,9,55000,4,5,3,6,9
1,1963,9,250000,5,1,4,1,4
2,1979,9,0,2,1,5,5,3
2,1970,13,200000,4,5,7,7,4
2,1969,11,9999999,4,5,4,3,12
2,1969,12,9999999,4,5,6,6,3
2,1974,9,30000,5,5,4,4,4
1,1968,13,9999999,5,5,7,6,12
1,1960,11,100000,4,5,6,5,3
2,1967,12,100000,5,5,6,5,4
2,1969,9,18000,4,5,4,3,14
1,1975,11,240000,4,5,6,5,12
2,1971,13,80000,3,5,4,6,1
1,1970,10,50000,4,5,4,4,3
2,1974,4,30000,3,1,5,3,3
2,1960,6,26400,2,5,4,5,2
2,1973,7,48000,3,5,4,4,4
1,1970,9,80000,3,5,4,7,9
1,1962,8,50000,4,5,5,4,3
1,1966,4,20000,4,5,4,4,7
2,1965,6,20000,5,5,4,4,4
1,1963,6,9999999,4,5,4,5,98
1,1970,7,80000,5,5,7,5,4
2,1969,3,4000,5,1,5,2,1
2,1961,11,60000,3,5,6,8,6
2,1962,6,27600,4,5,4,5,1
2,1964,6,30000,3,5,3,5,6
2,1964,10,200000,4,5,5,3,3
1,1965,12,156000,5,5,7,4,6
2,1972,6,24000,3,5,5,5,3
2,1968,4,10320,2,5,2,2,98
2,1964,6,24000,1,5,2,2,1
2,1969,9,50000,4,5,2,2,9
1,1960,6,0,5,4,2,5,6
2,1965,6,27600,2,5,5,4,98
1,1975,8,36000,4,5,1,1,4
1,1969,9,50000,5,5,5,5,4
1,1964,9,150000,3,5,6,3,3
1,1963,4,24600,3,5,3,2,1
2,1968,3,0,1,1,1,2,4
1,1966,12,96000,4,5,3,1,12
1,1968,10,80000,4,1,5,2,3
2,1962,6,24000,3,5,1,1,2
1,1974,3,30000,4,1,3,3,98
1,1976,10,50000,5,5,5,5,3
2,1970,9,100000,5,5,5,5,4
1,1973,3,36000,4,1,1,2,98
1,1963,4,0,5,5,5,5,1
2,1962,6,36000,3,4,2,2,98
2,1960,4,27600,5,5,5,5,6
2,1961,6,30000,3,5,3,8,98
2,1965,3,2000,4,4,2,1,3
2,1960,8,24000,3,5,2,5,1
1,1973,8,40000,4,5,5,5,4
2,1962,4,40000,3,5,2,1,2
1,1971,6,30000,3,5,4,4,3
1,1971,6,60000,4,5,6,8,6
2,1971,4,39200,4,1,2,2,1
1,1971,11,50000,4,5,5,5,4
2,1968,6,26400,5,5,1,2,3
2,1960,7,24000,4,5,5,5,98
2,1963,4,14400,4,1,1,5,2
2,1972,4,0,2,1,5,6,1
2,1973,6,50000,4,5,3,2,4
2,1961,3,15000,4,5,2,2,1
2,1976,12,50000,3,5,5,5,9
2,1962,6,15600,3,5,5,5,3
2,1976,4,40000,5,1,5,4,4
1,1965,4,60000,3,4,6,1,2
2,1962,7,25000,5,5,4,6,4
1,1960,4,60000,2,4,4,3,3
2,1967,12,70000,3,5,2,2,9
2,1972,13,150000,2,1,7,8,12
1,1974,5,40000,5,4,2,7,8
2,1976,10,0,4,5,5,5,4
2,1963,10,36000,3,5,5,6,4
1,1971,9,36000,5,1,1,1,7
2,1969,6,50000,4,5,3,3,4
2,1971,10,80000,4,4,6,7,4
1,1965,10,100000,4,5,5,5,2
2,1974,11,50000,5,1,4,4,3
2,1967,4,30000,4,2,4,4,1
1,1970,11,70000,2,5,4,5,12
2,1975,10,60000,4,5,7,3,6
1,1961,4,10000,2,4,1,4,2
1,1975,9,60000,3,4,5,3,2
1,1968,6,30000,2,1,2,10,12
2,1977,6,0,3,1,5,5,4
1,1964,6,50000,4,1,5,3,2
1,1969,4,85000,3,4,5,5,3
2,1963,4,9999997,2,1,1,1,98
2,1965,6,40000,3,2,3,4,3
1,1972,9,100000,4,4,6,8,4
1,1962,6,20000,2,4,1,1,2
1,1964,9,60000,4,1,5,2,3
2,1965,4,0,4,1,5,3,2
2,1975,10,20000,4,5,4,5,3
1,1961,6,36000,1,5,5,4,1
2,1973,3,4000,4,1,2,1,12
1,1963,4,8000,5,1,5,2,1
1,1962,4,3000,2,1,6,1,3
2,1974,4,20000,3,1,5,3,4
2,1975,4,5500,3,1,2,1,4
2,1962,1,2000,3,1,3,1,3
2,1964,4,2000,3,1,5,2,1
2,1979,4,20000,4,1,3,1,3
2,1963,3,1500,2,1,3,1,1
2,1964,3,0,5,1,4,2,1
1,1968,3,20000,4,1,5,5,3
2,1977,3,15000,5,1,4,2,1
2,1964,3,6000,3,1,5,5,2
2,1973,3,0,5,1,5,4,3
2,1979,4,30000,3,1,1,2,3
1,1961,4,500,1,1,1,1,1
2,1972,9,12000,4,1,4,3,4
2,1962,9,13400,4,3,5,1,3
2,1975,7,80000,3,1,5,5,1
1,1974,10,20000,4,2,5,5,4
2,1970,11,75000,3,2,6,4,3
2,1971,5,21600,4,1,6,1,1
1,1971,11,55000,4,1,6,4,3
1,1978,9,65000,4,1,7,8,4
1,1978,9,30000,4,3,1,5,1
2,1969,9,24000,3,1,5,4,7
2,1975,11,60000,4,2,5,3,6
2,1973,4,0,2,1,5,7,2
2,1973,11,60000,5,1,5,5,3
1,1962,6,0,2,1,5,4,1
2,1976,4,40000,3,1,2,1,4
1,1973,4,0,3,1,3,1,1
1,1975,9,65000,3,3,1,1,2
2,1978,11,40000,3,1,5,2,3
2,1975,4,30000,3,5,1,1,3
1,1979,9,80000,3,1,5,3,3
1,1979,9,100000,2,1,2,1,3
1,1978,6,80000,4,1,6,2,4
2,1969,1,9999997,5,3,5,6,98
2,1967,4,0,4,1,5,3,4
1,1979,11,50000,3,3,2,2,6
2,1964,6,0,3,3,1,1,4
2,1975,4,30000,5,1,3,2,4
2,1976,4,9000,3,3,1,1,1
2,1961,6,0,2,1,5,3,1
1,1972,3,20000,4,1,6,3,1
2,1972,4,10000,3,1,3,2,4
1,1962,4,2500,2,1,1,1,1
2,1966,4,20000,4,1,2,1,1
2,1979,4,10000,3,1,5,5,1
2,1963,3,1000,3,1,3,2,1
1,1978,4,48000,4,3,4,1,6
2,1968,3,0,3,3,2,1,3
1,1966,6,10000,5,1,5,4,3
2,1976,4,10000,3,1,1,1,1
2,1966,6,20000,3,1,1,8,6
2,1970,3,2000,3,1,5,3,1
2,1962,3,2000,3,1,2,1,1
2,1970,3,0,3,1,5,4,3
2,1976,4,0,2,1,1,1,1
2,1966,3,5000,2,1,4,1,1
2,1960,3,0,3,1,4,2,1
2,1972,4,0,4,1,3,4,4
2,1972,3,1000,4,1,5,3,2
2,1965,4,3000,3,1,4,3,3
2,1976,6,30000,4,1,2,2,3
2,1966,6,5000,3,1,8,6,4
1,1972,4,30000,4,1,2,1,7
2,1967,3,6000,4,1,8,4,1
2,1969,3,0,4,1,5,4,2
1,1960,3,4000,4,1,2,1,98
1,1978,1,30000,4,1,4,1,3
1,1977,11,50000,3,1,4,3,7
2,1973,9,40000,4,1,2,1,4
1,1969,10,20000,5,1,6,3,1
2,1966,9,47000,2,3,5,2,3
1,1970,4,80000,5,1,3,3,1
1,1967,6,10000,5,3,5,5,1
2,1962,6,0,4,1,7,2,1
2,1974,4,30000,5,1,6,4,4
2,1964,9,26000,3,1,5,5,3
2,1965,4,10000,2,1,2,2,3
1,1961,6,10000,3,1,7,2,1
2,1973,4,10000,3,1,1,1,1
1,1972,4,20000,5,1,3,4,3
2,1965,3,0,3,1,1,1,4
2,1974,4,12000,4,1,6,4,1
2,1969,3,12000,2,1,2,2,3
2,1967,4,1000,2,1,4,3,1
1,1961,4,2000,4,1,3,1,3
2,1961,1,5000,2,1,4,2,1
1,1961,4,6000,3,1,2,2,2
2,1976,3,16000,4,1,1,1,3
1,1967,4,12000,3,1,1,1,2
1,1976,4,24000,5,1,3,3,3
2,1971,4,5000,3,1,3,2,4
2,1964,3,10000,5,1,5,4,1
2,1964,6,0,3,1,3,2,3
1,1979,4,24000,5,1,5,4,3
2,1975,4,40000,5,1,5,4,3
1,1974,4,30000,1,1,2,1,3
1,1970,4,20000,2,1,3,2,1
2,1974,5,30000,5,1,6,8,4
2,1970,4,10000,4,1,1,1,3
2,1966,3,5000,4,1,4,2,3
1,1977,4,36000,5,1,5,5,4
2,1977,4,0,3,1,3,7,3
2,1967,3,10000,5,1,6,2,1
2,1966,4,0,5,1,2,1,1
1,1975,4,30000,3,1,1,1,3
1,1977,3,150000,4,2,6,1,4
2,1973,12,50000,4,3,5,4,6
1,1963,6,20000,4,5,3,2,99
1,1971,12,30000,4,5,4,3,4
2,1976,6,9999999,4,5,5,1,6
2,1970,11,50000,3,5,3,2,8
1,1963,11,9999998,4,5,5,5,12
2,1971,7,60000,4,5,4,2,3
2,1977,6,48000,3,3,5,2,4
1,1978,13,120000,5,5,5,4,10
1,1967,10,80000,4,1,5,3,4
2,1971,12,100000,4,5,4,4,6
2,1977,6,9999999,4,5,7,4,6
2,1975,10,60000,4,1,8,5,9
2,1967,4,20000,3,1,1,1,3
2,1971,7,9999998,2,1,1,1,6
2,1975,3,10000,3,1,5,3,1
2,1961,4,9999998,2,5,1,10,6
2,1970,3,80000,4,1,5,1,2
2,1976,4,48000,4,2,5,3,3
1,1977,6,48000,5,2,5,3,12
1,1975,4,40000,4,1,3,1,1
1,1973,3,50000,4,1,5,1,3
1,1962,4,33000,4,1,3,1,2
2,1974,3,20000,3,1,3,1,1
2,1964,4,50000,4,2,5,3,1
2,1967,4,30000,4,1,98,98,4
1,1963,3,20000,2,1,3,3,3
1,1963,6,100000,3,5,5,4,3
1,1965,12,9999999,5,5,5,4,4
1,1965,10,200000,3,5,4,1,7
2,1977,12,40000,3,5,7,5,6
1,1965,10,160000,4,5,5,1,3
1,1972,8,80000,5,5,4,3,4
1,1972,10,150000,3,5,4,3,4
2,1971,12,30000,4,5,5,5,3
2,1965,5,40000,3,3,3,2,4
1,1979,4,600000,4,1,98,98,98
2,1971,4,9999999,4,1,4,3,3
1,1966,4,5000,4,1,5,5,3
2,1967,1,0,3,1,3,1,3
2,1965,3,0,4,1,2,1,1
1,1973,4,20000,4,1,4,4,3
2,1962,4,20000,3,1,1,1,4
1,1962,6,0,2,3,5,6,98
1,1978,8,100000,4,1,6,8,3
1,1962,4,0,3,1,1,3,4
1,1970,4,20000,3,1,4,1,3
1,1966,7,30000,5,1,5,3,1
1,1974,6,20000,4,1,5,4,3
1,1969,6,20000,4,1,2,1,4
2,1964,3,2000,5,1,3,1,3
1,1974,3,4000,4,1,4,3,98
1,1977,3,30000,5,1,3,3,3
2,1973,4,9999997,4,1,3,2,3
2,1973,3,3500,3,1,5,4,1
1,1970,3,9999997,4,1,1,2,1
2,1970,6,20000,5,3,5,5,3
2,1972,11,60000,5,3,5,5,4
2,1966,4,9999997,4,1,4,2,3
1,1967,10,200000,4,3,6,5,98
1,1967,4,0,1,1,2,2,4
1,1966,6,50000,4,3,5,3,1
2,1969,6,0,5,5,3,3,4
2,1962,6,9999999,5,3,3,2,3
1,1970,4,30000,5,1,4,3,3
1,1960,3,0,5,1,2,2,1
2,1967,4,30000,4,3,5,3,1
2,1972,4,0,5,1,4,2,3
2,1970,14,9999999,4,99,3,2,99
1,1967,4,9999999,4,1,3,3,99
2,1967,11,60000,5,1,5,3,3
2,1967,6,9999997,4,3,5,3,6
1,1972,4,40000,3,5,3,3,4
2,1973,6,23000,4,2,4,4,98
2,1964,11,9999999,4,1,5,3,3
1,1976,4,20000,4,1,3,3,3
2,1975,11,35000,5,3,5,4,7
2,1963,6,9999997,4,1,6,5,1
2,1979,4,9999999,4,1,5,6,4
2,1962,4,0,5,1,3,2,4
2,1974,7,50000,4,1,5,3,4
1,1963,6,9999998,4,1,5,5,4
1,1976,4,9999998,2,1,2,1,3
2,1970,4,3000,3,1,4,1,1
1,1965,4,0,5,1,2,4,3
2,1976,3,10000,4,1,5,2,3
2,1979,4,9999997,5,1,4,4,3
2,1964,10,60000,4,2,6,3,10
1,1964,4,0,2,1,4,4,1
2,1968,4,9999998,4,1,5,4,1
1,1975,4,30000,5,1,3,1,4
2,1973,6,10000,3,1,3,3,3
1,1976,4,40000,4,1,4,2,4
1,1962,6,30000,2,1,5,2,7
2,1971,6,60000,4,1,6,5,3
1,1966,4,10000,4,1,6,5,1
2,1973,3,50000,2,1,5,2,1
2,1965,4,30000,3,1,5,4,2
2,1969,12,50000,3,3,3,2,4
2,1970,7,0,4,1,4,3,4
1,1977,10,40000,4,1,6,5,4
2,1967,10,40000,4,1,7,7,6
1,1971,10,48000,4,3,6,4,10
1,1960,4,30000,2,1,4,6,4
2,1965,9,50000,4,1,6,5,3
1,1974,12,47000,5,2,6,1,3
2,1971,6,9999999,5,3,6,6,3
2,1978,11,50000,5,1,6,6,2
1,1972,4,30000,3,1,7,5,3
1,1968,10,100000,5,3,5,3,4
1,1964,4,9999999,5,1,8,3,98
2,1969,4,10000,4,1,5,4,1
2,1979,10,24000,5,3,6,3,3
1,1973,4,9999999,5,1,5,5,6
2,1977,7,0,5,3,4,4,6
1,1978,10,35000,4,1,7,5,3
1,1975,5,9999998,5,1,8,6,3
1,1965,6,60000,4,1,4,3,4
2,1968,4,0,4,1,3,3,1
1,1972,4,30000,3,1,6,5,3
2,1965,10,50000,5,1,8,8,6
1,1967,4,30000,5,1,5,4,3
1,1978,5,30000,4,1,7,9,4
1,1961,4,20000,2,1,5,4,2
